O-N	w[0]=我	w[1]=在	pos[0]=N	pos[1]=P	bio[0]=O	bio[1]=O	__BOS__
O-P	w[-1]=我	w[0]=在	w[1]=玩	pos[-1]=N	pos[0]=P	pos[1]=Vt	bio[-1]=O	bio[0]=O	bio[1]=O
O-Vt	w[-1]=在	w[0]=玩	w[1]=的	pos[-1]=P	pos[0]=Vt	pos[1]=T	bio[-1]=O	bio[0]=O	bio[1]=O
O-T	w[-1]=玩	w[0]=的	w[1]=時候	pos[-1]=Vt	pos[0]=T	pos[1]=N	bio[-1]=O	bio[0]=O	bio[1]=O
O-N	w[-1]=的	w[0]=時候	w[1]=踢到	pos[-1]=T	pos[0]=N	pos[1]=Vt	bio[-1]=O	bio[0]=O	bio[1]=O
O-Vt	w[-1]=時候	w[0]=踢到	w[1]=了	pos[-1]=N	pos[0]=Vt	pos[1]=ASP	bio[-1]=O	bio[0]=O	bio[1]=O
O-ASP	w[-1]=踢到	w[0]=了	w[1]=地磚	pos[-1]=Vt	pos[0]=ASP	pos[1]=N	bio[-1]=O	bio[0]=O	bio[1]=O
O-N	w[-1]=了	w[0]=地磚	w[1]=回家	pos[-1]=ASP	pos[0]=N	pos[1]=Vi	bio[-1]=O	bio[0]=O	bio[1]=O
O-Vi	w[-1]=地磚	w[0]=回家	w[1]=後	pos[-1]=N	pos[0]=Vi	pos[1]=POST	bio[-1]=O	bio[0]=O	bio[1]=O
O-POST	w[-1]=回家	w[0]=後	w[1]=發現	pos[-1]=Vi	pos[0]=POST	pos[1]=Vt	bio[-1]=O	bio[0]=O	bio[1]=O
O-Vt	w[-1]=後	w[0]=發現	w[1]=腳指甲	pos[-1]=POST	pos[0]=Vt	pos[1]=N	bio[-1]=O	bio[0]=O	bio[1]=O
O-N	w[-1]=發現	w[0]=腳指甲	w[1]=整	pos[-1]=Vt	pos[0]=N	pos[1]=DET	bio[-1]=O	bio[0]=O	bio[1]=O
O-DET	w[-1]=腳指甲	w[0]=整	w[1]=個	pos[-1]=N	pos[0]=DET	pos[1]=M	bio[-1]=O	bio[0]=O	bio[1]=O
O-M	w[-1]=整	w[0]=個	w[1]=掉下來	pos[-1]=DET	pos[0]=M	pos[1]=Vi	bio[-1]=O	bio[0]=O	bio[1]=O
O-Vi	w[-1]=個	w[0]=掉下來	w[1]=(	pos[-1]=M	pos[0]=Vi	pos[1]=PARENTHESISCATEGORY	bio[-1]=O	bio[0]=O	bio[1]=O
O-PARENTHESISCATEGORY	w[-1]=掉下來	w[0]=(	w[1]=一點	pos[-1]=Vi	pos[0]=PARENTHESISCATEGORY	pos[1]=DET	bio[-1]=O	bio[0]=O	bio[1]=O
O-DET	w[-1]=(	w[0]=一點	w[1]=不	pos[-1]=PARENTHESISCATEGORY	pos[0]=DET	pos[1]=ADV	bio[-1]=O	bio[0]=O	bio[1]=O
O-ADV	w[-1]=一點	w[0]=不	w[1]=剩	pos[-1]=DET	pos[0]=ADV	pos[1]=Vt	bio[-1]=O	bio[0]=O	bio[1]=O
O-Vt	w[-1]=不	w[0]=剩	w[1]=)	pos[-1]=ADV	pos[0]=Vt	pos[1]=PARENTHESISCATEGORY	bio[-1]=O	bio[0]=O	bio[1]=O
O-PARENTHESISCATEGORY	w[-1]=剩	w[0]=)	w[1]=血	pos[-1]=Vt	pos[0]=PARENTHESISCATEGORY	pos[1]=N	bio[-1]=O	bio[0]=O	bio[1]=O
O-N	w[-1]=)	w[0]=血	w[1]=一直	pos[-1]=PARENTHESISCATEGORY	pos[0]=N	pos[1]=ADV	bio[-1]=O	bio[0]=O	bio[1]=O
O-ADV	w[-1]=血	w[0]=一直	w[1]=止不了	pos[-1]=N	pos[0]=ADV	pos[1]=Vt	bio[-1]=O	bio[0]=O	bio[1]=O
O-Vt	w[-1]=一直	w[0]=止不了	w[1]=只	pos[-1]=ADV	pos[0]=Vt	pos[1]=ADV	bio[-1]=O	bio[0]=O	bio[1]=O
O-ADV	w[-1]=止不了	w[0]=只	w[1]=去	pos[-1]=Vt	pos[0]=ADV	pos[1]=Vt	bio[-1]=O	bio[0]=O	bio[1]=O
O-Vt	w[-1]=只	w[0]=去	w[1]=了	pos[-1]=ADV	pos[0]=Vt	pos[1]=ASP	bio[-1]=O	bio[0]=O	bio[1]=O
O-ASP	w[-1]=去	w[0]=了	w[1]=藥局	pos[-1]=Vt	pos[0]=ASP	pos[1]=N	bio[-1]=O	bio[0]=O	bio[1]=O
