Vt	w[0]=提到	w[1]=管理	pos[0]=Vt	pos[1]=N	__BOS__
N	w[-1]=提到	w[0]=管理	w[1]=，	pos[-1]=Vt	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=管理	w[0]=，	w[1]=許多	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=DET
DET	w[-1]=，	w[0]=許多	w[1]=人	pos[-1]=COMMACATEGORY	pos[0]=DET	pos[1]=N
N	w[-1]=許多	w[0]=人	w[1]=可能	pos[-1]=DET	pos[0]=N	pos[1]=ADV
ADV	w[-1]=人	w[0]=可能	w[1]=會	pos[-1]=N	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=可能	w[0]=會	w[1]=想起	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=會	w[0]=想起	w[1]=作業	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=想起	w[0]=作業	w[1]=管理	pos[-1]=Vt	pos[0]=N	pos[1]=Nv
Nv	w[-1]=作業	w[0]=管理	w[1]=、	pos[-1]=N	pos[0]=Nv	pos[1]=PAUSECATEGORY
PAUSECATEGORY	w[-1]=管理	w[0]=、	w[1]=財務	pos[-1]=Nv	pos[0]=PAUSECATEGORY	pos[1]=N
N	w[-1]=、	w[0]=財務	w[1]=管理	pos[-1]=PAUSECATEGORY	pos[0]=N	pos[1]=Nv
Nv	w[-1]=財務	w[0]=管理	w[1]=以及	pos[-1]=N	pos[0]=Nv	pos[1]=C
C	w[-1]=管理	w[0]=以及	w[1]=策略	pos[-1]=Nv	pos[0]=C	pos[1]=N
N	w[-1]=以及	w[0]=策略	w[1]=管理	pos[-1]=C	pos[0]=N	pos[1]=Nv
Nv	w[-1]=策略	w[0]=管理	w[1]=等等	pos[-1]=N	pos[0]=Nv	pos[1]=POST
POST	w[-1]=管理	w[0]=等等	w[1]=知識	pos[-1]=Nv	pos[0]=POST	pos[1]=N
N	w[-1]=等等	w[0]=知識	w[1]=，	pos[-1]=POST	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=知識	w[0]=，	w[1]=幾乎	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=幾乎	w[1]=沒	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=幾乎	w[0]=沒	w[1]=人	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=沒	w[0]=人	w[1]=會	pos[-1]=Vt	pos[0]=N	pos[1]=ADV
ADV	w[-1]=人	w[0]=會	w[1]=想到	pos[-1]=N	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=會	w[0]=想到	w[1]=心理學	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=想到	w[0]=心理學	w[1]=，	pos[-1]=Vt	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=心理學	w[0]=，	w[1]=但是	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=C
C	w[-1]=，	w[0]=但是	w[1]=陸洛	pos[-1]=COMMACATEGORY	pos[0]=C	pos[1]=N
N	w[-1]=但是	w[0]=陸洛	w[1]=舉例	pos[-1]=C	pos[0]=N	pos[1]=Vi
Vi	w[-1]=陸洛	w[0]=舉例	w[1]=，	pos[-1]=N	pos[0]=Vi	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=舉例	w[0]=，	w[1]=初階	pos[-1]=Vi	pos[0]=COMMACATEGORY	pos[1]=N
N	w[-1]=，	w[0]=初階	w[1]=主管	pos[-1]=COMMACATEGORY	pos[0]=N	pos[1]=N
N	w[-1]=初階	w[0]=主管	w[1]=分配	pos[-1]=N	pos[0]=N	pos[1]=Vt
Vt	w[-1]=主管	w[0]=分配	w[1]=任務	pos[-1]=N	pos[0]=Vt	pos[1]=N
N	w[-1]=分配	w[0]=任務	w[1]=需要	pos[-1]=Vt	pos[0]=N	pos[1]=Vt
Vt	w[-1]=任務	w[0]=需要	w[1]=了解	pos[-1]=N	pos[0]=Vt	pos[1]=Vt
Vt	w[-1]=需要	w[0]=了解	w[1]=「	pos[-1]=Vt	pos[0]=Vt	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=了解	w[0]=「	w[1]=人	pos[-1]=Vt	pos[0]=PARENTHESISCATEGORY	pos[1]=N
N	w[-1]=「	w[0]=人	w[1]=」	pos[-1]=PARENTHESISCATEGORY	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=人	w[0]=」	w[1]=；	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=SEMICOLONCATEGORY
SEMICOLONCATEGORY	w[-1]=」	w[0]=；	w[1]=中階	pos[-1]=PARENTHESISCATEGORY	pos[0]=SEMICOLONCATEGORY	pos[1]=A
A	w[-1]=；	w[0]=中階	w[1]=主管	pos[-1]=SEMICOLONCATEGORY	pos[0]=A	pos[1]=N
N	w[-1]=中階	w[0]=主管	w[1]=管事	pos[-1]=A	pos[0]=N	pos[1]=Vi
Vi	w[-1]=主管	w[0]=管事	w[1]=又	pos[-1]=N	pos[0]=Vi	pos[1]=ADV
ADV	w[-1]=管事	w[0]=又	w[1]=管	pos[-1]=Vi	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=又	w[0]=管	w[1]=錢	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=管	w[0]=錢	w[1]=，	pos[-1]=Vt	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=錢	w[0]=，	w[1]=必須	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=必須	w[1]=懂	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=必須	w[0]=懂	w[1]=「	pos[-1]=ADV	pos[0]=Vt	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=懂	w[0]=「	w[1]=人	pos[-1]=Vt	pos[0]=PARENTHESISCATEGORY	pos[1]=N
